user_id,date,amount,category,merchant,type
5,2026-03-16,9500,Food,Swiggy,expense
5,2026-03-18,8200,Entertainment,BookMyShow,expense
5,2026-03-20,11000,Health,Apollo Pharmacy,expense
5,2026-03-22,7500,Utilities,PhonePe,expense
5,2026-03-25,13500,Shopping,Nykaa,expense
5,2026-03-28,6000,Food,Zomato,expense
5,2026-04-01,45000,Salary,Freelance Client A,income
5,2026-04-03,22000,Shopping,Amazon India,expense
5,2026-04-05,15000,Travel,IRCTC,expense
5,2026-04-07,9800,Food,Swiggy,expense
5,2026-04-09,12500,Shopping,Myntra,expense
